Subject,Left Comparison Type,Right Comparison Type,Correct Side,Chosen Side
5,0,2,0.0,0.0
5,0,16,0.0,0.0
5,many,68,1.0,1.0
5,many,4,1.0,1.0
5,many,2,1.0,1.0
5,0,68,0.0,0.0
5,16,many,0.0,0.0
5,2,68,0.0,0.0
5,2,4,0.0,0.0
5,16,68,0.0,0.0
5,2,16,0.0,0.0
5,68,16,1.0,1.0
5,2,4,0.0,0.0
5,many,4,1.0,1.0
5,0,2,0.0,0.0
5,0,68,0.0,0.0
5,many,16,1.0,1.0
5,16,2,1.0,1.0
5,many,68,1.0,1.0
5,4,0,1.0,1.0
5,0,16,0.0,0.0
5,2,68,0.0,0.0
5,2,many,0.0,0.0
5,many,0,1.0,1.0
5,16,4,1.0,1.0
5,68,4,1.0,1.0
5,2,4,0.0,0.0
5,68,4,1.0,1.0
5,2,0,1.0,1.0
5,many,16,1.0,1.0
5,0,many,0.0,0.0
5,0,68,0.0,0.0
5,2,many,0.0,0.0
5,16,0,1.0,1.0
5,4,many,0.0,0.0
5,16,2,1.0,1.0
5,4,16,0.0,0.0
5,2,68,0.0,0.0
5,16,68,0.0,0.0
5,many,68,1.0,1.0
5,4,0,1.0,1.0
5,0,4,0.0,0.0
5,many,0,1.0,1.0
5,16,0,1.0,1.0
5,0,68,0.0,0.0
5,2,4,0.0,0.0
5,2,many,0.0,0.0
5,68,16,1.0,1.0
5,many,4,1.0,1.0
5,68,4,1.0,1.0
5,16,many,0.0,0.0
5,68,2,1.0,1.0
5,68,many,0.0,0.0
5,2,0,1.0,1.0
5,4,16,0.0,0.0
5,16,2,1.0,1.0
5,16,0,1.0,1.0
5,2,4,0.0,0.0
5,2,many,0.0,0.0
5,many,16,1.0,1.0
5,many,4,1.0,1.0
5,4,0,1.0,1.0
5,16,2,1.0,1.0
5,68,2,1.0,1.0
5,2,0,1.0,1.0
5,0,many,0.0,0.0
5,4,68,0.0,0.0
5,68,many,0.0,0.0
5,16,4,1.0,1.0
5,0,68,0.0,0.0
5,68,16,1.0,1.0
6,16,0,1.0,1.0
6,many,2,1.0,1.0
6,0,many,0.0,0.0
6,many,68,1.0,1.0
6,16,2,1.0,1.0
6,many,16,1.0,1.0
6,68,0,1.0,1.0
6,0,2,0.0,0.0
6,68,2,1.0,1.0
6,4,many,0.0,0.0
6,4,68,0.0,1.0
6,16,68,0.0,0.0
6,0,4,0.0,0.0
6,16,4,1.0,1.0
6,2,4,0.0,0.0
6,0,many,0.0,0.0
6,68,4,1.0,1.0
